"from","to","time","train"
"AAP","FPK","300","WGC > KGX"
"ABW","PLU","180","GLM > CHX"
"ABW","SGR","420","CHX > GLM"
"ABY","ADK","120","MPL > MAN"
"ABY","BLV","120","MAN > MPL"
"ABY","GTO","120","MAN > MAN"
"ABY","MAN","360","MAN > MAN"
"ACC","SAT","120","SRA > RMD"
"ACC","WIJ","300","RMD > SRA"
"ACG","BMO","420","DDG > SBJ"
"ACG","OLT","120","WOS > DDG"
"ACG","TYS","180","LMS > WOS"
"ACL","LGD","300","GYM > NRW"
"ACR","BBN","720","WGW > BBN"
"ACR","BYM","480","PRE > YRK"
"ACR","CTW","180","CNE > PRE"
"ACR","HCT","300","PRE > CNE"
"ACR","RSG","420","BBN > WGW"
"ACT","BAG","360","ACT > GLD"
"ACT","MAO","240","WAT > RDG"
"ACT","SNG","180","RDG > WAT"
"ADC","PRB","180","MAN > SOT"
"ADC","PYT","180","SOT > MAN"
"ADK","MAN","420","MPL > MAN"
"ADL","BLK","180","PRE > HUD"
"ADL","CRL","300","MCV > PRE"
"ADM","BKS","240","DVP > VIC"
"ADV","BSK","1020","EXD > WAT"
"ADV","GRT","420","WAT > SAL"
"ADV","WCH","480","GIL > WAT"
"AFK","CHG","480","CBW > VIC"
"AFK","HMT","480","AFK > RYE"
"AFK","PLC","360","RAM > CHX"
"AFK","WHA","480","CHX > DVP"
"AFK","WYE","360","CHX > CBW"
"AFS","FEL","300","WYB > WAT"
"AFS","SNS","240","WAT > WYB"
"AFV","SAS","600","PRE > BPS"
"AGR","CHN","420","SRA > BIS"
"AGR","NUM","120","BIS > SRA"
"AGT","HOV","120","BOG > BTN"
"AGT","PLD","120","BTN > WWO"
"AHD","EPS","240","GLD > VIC"
"AHD","LHD","180","VIC > HRH"
"AHN","MCV","900","HUD > WGW"
"AHN","SYB","360","KIR > SYB"
"AHS","CWN","300","UCK > LBG"
"AHS","ERI","360","LBG > UCK"
"AHT","AHV","240","GLD > ACT"
"AHT","ASH","420","ACT > GLD"
"AHT","FNH","300","WAT > AON"
"AHV","AHT","300","WAT > AON"
"AHV","BKO","420","AON > WAT"
"AHV","FML","360","GLD > ACT"
"AIG","CSG","120","SOP > HNX"
"AIG","STM","120","HNX > SOP"
"AIN","OPK","120","OMS > LVC"
"AIN","ORN","120","LVC > OMS"
"ALB","COS","180","BHM > SHR"
"ALB","CSL","300","SHR > BHM"
"ALD","HCH","480","MAN > CRE"
"ALD","WML","180","CRE > MAN"
"ALF","CHD","720","NRW > LIV"
"ALF","LGM","480","LDS > NOT"
"ALF","NOT","1440","LIV > NRW"
"ALK","BTF","360","NOT > SKG"
"ALN","BUU","300","WIC > SMN"
"ALN","NFA","360","SMN > WIC"
"ALP","CWE","360","SCU > SHF"
"ALP","SCU","420","SHF > SCU"
"ALR","GRB","240","WTM > WON"
"ALR","WIV","240","WON > COL"
"ALT","HAL","180","MAN > CTR"
"ALT","NVR","120","CTR > SPT"
"ALV","BTG","300","RDC > LTV"
"ALV","RDC","420","LTV > RDC"
"ALW","DND","360","SLB > DAR"
"ALW","EAG","120","BIA > SLB"
"AMB","BLP","480","MAT > NCT"
"AMB","WTS","240","NCT > MAT"
"AML","EAL","180","PAD > HAY"
"AML","PAD","480","HAY > PAD"
"AMR","CFO","240","AYS > MYB"
"AMR","GMN","360","MYB > AVP"
"AMR","MYB","2280","AVP > MYB"
"AMT","MDG","240","MAI > NBY"
"AMT","THA","420","RDG > BDW"
"AMT","THE","360","NBY > RDG"
"AMY","ARU","300","HRH > BOG"
"AMY","PUL","360","BOG > VIC"
"ANC","RAU","360","NOT > SKG"
"ANF","BCU","540","WAT > POO"
"ANF","TTN","300","POO > WAT"
"ANG","BAA","600","BTN > BOG"
"ANG","DUR","360","SOU > BTN"
"ANG","FOD","360","BTN > SOU"
"ANG","GBS","240","BOG > BTN"
"ANG","LIT","480","BTN > LIT"
"ANG","WRH","420","PMH > BTN"
"ANS","FRE","240","SOP > LVC"
"ANS","HIL","180","HNX > SOP"
"ANZ","NWD","180","LBG > CAT"
"ANZ","PNW","120","CAT > LBG"
"AON","BTY","360","AON > WAT"
"APB","GST","180","SOP > MIA"
"APB","PBL","240","MCV > SOP"
"APD","HMT","300","BTN > AFK"
"APD","RYE","540","AFK > RYE"
"APG","RID","240","BLY > BDM"
"APG","WOB","180","BDM > BLY"
"APP","KSW","780","CAR > LDS"
"APS","HML","120","EUS > TRI"
"APS","KGL","240","TRI > EUS"
"APY","LDS","720","BDQ > LDS"
"APY","SHY","300","LDS > BDQ"
"ARL","BIW","300","KGX > PBO"
"ARL","HIT","360","PBO > KGX"
"ARN","GOS","300","MIA > BIF"
"ARN","SVR","240","BIF > PRE"
"ARR","HUT","420","HUL > BDT"
"ARU","AMY","300","BOG > VIC"
"ARU","FOD","300","HRH > BOG"
"ASC","CNM","540","GMV > WSB"
"ASC","WOS","1020","SOU > GMV"
"ASG","CRE","540","EUS > CRE"
"ASG","KDG","240","CRE > EUS"
"ASH","AHT","420","GLD > ACT"
"ASH","GLD","540","RDG > SFR"
"ASH","NCM","240","RDH > RDG"
"ASH","WAN","180","ACT > GLD"
"ASK","BIF","900","CAR > BIF"
"ASK","KBF","240","BIF > CAR"
"ASN","CHY","180","WYB > WAT"
"ASN","WYB","300","WAT > WYB"
"ASP","MRY","660","CAR > WTH"
"ASP","WGT","720","BIF > CAR"
"AST","BHM","480","LTV > RDC"
"AST","DUD","180","WSL > WVH"
"AST","GVH","240","RDC > FOK"
"AST","WTT","120","WVH > WSL"
"ASY","HAL","240","CTR > SPT"
"ASY","MOB","180","MAN > CTR"
"ATB","BEE","180","MAT > NCT"
"ATB","LGE","480","NCT > MAT"
"ATH","NUN","420","CRE > EUS"
"ATH","TAM","480","EUS > CRE"
"ATL","TTF","780","NRW > CBG"
"ATL","WMD","420","CBG > NRW"
"ATN","DSY","240","MCV > SOP"
"ATN","HGF","180","MCV > KIR"
